episode_id,combo_id,n_ood_dims,split,length_lo,length_hi,angle_lo,angle_hi,gravity_lo,gravity_hi,damping_lo,damping_hi,angvel_lo,angvel_hi
34,83,3,far_ood,0.995,1.505,15.0,38.1,4.0,7.3,0.01,0.1717,1.02,3.0
35,7,1,near_ood,0.5,0.995,15.0,38.1,4.0,7.3,0.3383,0.5,-1.02,1.02
36,171,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.01,0.1717,-3.0,-1.02
37,110,3,far_ood,0.995,1.505,38.1,61.9,4.0,7.3,0.01,0.1717,1.02,3.0
38,213,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.3383,0.5,-3.0,-1.02
39,116,3,far_ood,0.995,1.505,38.1,61.9,4.0,7.3,0.3383,0.5,1.02,3.0
40,126,1,near_ood,0.995,1.505,38.1,61.9,10.7,14.0,0.01,0.1717,-3.0,-1.02
41,27,1,near_ood,0.5,0.995,38.1,61.9,4.0,7.3,0.01,0.1717,-3.0,-1.02
42,10,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.01,0.1717,-1.02,1.02
43,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
44,198,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.01,0.1717,-3.0,-1.02
45,172,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.01,0.1717,-1.02,1.02
46,211,1,near_ood,1.505,2.0,38.1,61.9,10.7,14.0,0.1717,0.3383,-1.02,1.02
47,171,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.01,0.1717,-3.0,-1.02
48,46,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.01,0.1717,-1.02,1.02
49,7,1,near_ood,0.5,0.995,15.0,38.1,4.0,7.3,0.3383,0.5,-1.02,1.02
50,25,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.3383,0.5,-1.02,1.02
51,25,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.3383,0.5,-1.02,1.02
52,24,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.3383,0.5,-3.0,-1.02
53,141,3,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.3383,0.5,-3.0,-1.02
54,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
55,187,0,iid,1.505,2.0,15.0,38.1,10.7,14.0,0.3383,0.5,-1.02,1.02
56,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
57,172,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.01,0.1717,-1.02,1.02
58,34,1,near_ood,0.5,0.995,38.1,61.9,4.0,7.3,0.3383,0.5,-1.02,1.02
59,198,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.01,0.1717,-3.0,-1.02
60,178,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.3383,0.5,-1.02,1.02
61,56,3,far_ood,0.5,0.995,61.9,85.0,4.0,7.3,0.01,0.1717,1.02,3.0
62,215,1,near_ood,1.505,2.0,38.1,61.9,10.7,14.0,0.3383,0.5,1.02,3.0
63,187,0,iid,1.505,2.0,15.0,38.1,10.7,14.0,0.3383,0.5,-1.02,1.02
64,47,1,near_ood,0.5,0.995,38.1,61.9,10.7,14.0,0.01,0.1717,1.02,3.0
65,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
66,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
67,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
68,43,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.3383,0.5,-1.02,1.02
69,16,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.3383,0.5,-1.02,1.02
70,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
71,186,0,iid,1.505,2.0,15.0,38.1,10.7,14.0,0.3383,0.5,-3.0,-1.02
72,137,4,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.01,0.1717,1.02,3.0
73,59,4,far_ood,0.5,0.995,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
74,176,2,near_ood,1.505,2.0,15.0,38.1,7.3,10.7,0.1717,0.3383,1.02,3.0
75,43,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.3383,0.5,-1.02,1.02
76,10,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.01,0.1717,-1.02,1.02
77,16,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.3383,0.5,-1.02,1.02
78,62,3,far_ood,0.5,0.995,61.9,85.0,4.0,7.3,0.3383,0.5,1.02,3.0
79,16,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.3383,0.5,-1.02,1.02
80,180,0,iid,1.505,2.0,15.0,38.1,10.7,14.0,0.01,0.1717,-3.0,-1.02
81,180,0,iid,1.505,2.0,15.0,38.1,10.7,14.0,0.01,0.1717,-3.0,-1.02
82,178,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.3383,0.5,-1.02,1.02
83,10,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.01,0.1717,-1.02,1.02
84,18,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.01,0.1717,-3.0,-1.02
85,207,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.01,0.1717,-3.0,-1.02
86,17,1,near_ood,0.5,0.995,15.0,38.1,7.3,10.7,0.3383,0.5,1.02,3.0
87,163,1,near_ood,1.505,2.0,15.0,38.1,4.0,7.3,0.01,0.1717,-1.02,1.02
88,151,2,near_ood,0.995,1.505,61.9,85.0,7.3,10.7,0.3383,0.5,-1.02,1.02
89,119,2,near_ood,0.995,1.505,38.1,61.9,7.3,10.7,0.01,0.1717,1.02,3.0
90,126,1,near_ood,0.995,1.505,38.1,61.9,10.7,14.0,0.01,0.1717,-3.0,-1.02
91,59,4,far_ood,0.5,0.995,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
92,213,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.3383,0.5,-3.0,-1.02
93,12,1,near_ood,0.5,0.995,15.0,38.1,7.3,10.7,0.1717,0.3383,-3.0,-1.02
94,19,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.01,0.1717,-1.02,1.02
95,177,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.3383,0.5,-3.0,-1.02
96,45,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.01,0.1717,-3.0,-1.02
97,40,1,near_ood,0.5,0.995,38.1,61.9,7.3,10.7,0.1717,0.3383,-1.02,1.02
98,18,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.01,0.1717,-3.0,-1.02
99,2,2,near_ood,0.5,0.995,15.0,38.1,4.0,7.3,0.01,0.1717,1.02,3.0
100,98,2,near_ood,0.995,1.505,15.0,38.1,7.3,10.7,0.3383,0.5,1.02,3.0
101,51,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.3383,0.5,-3.0,-1.02
102,204,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.3383,0.5,-3.0,-1.02
103,148,3,far_ood,0.995,1.505,61.9,85.0,7.3,10.7,0.1717,0.3383,-1.02,1.02
104,36,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.01,0.1717,-3.0,-1.02
105,194,3,far_ood,1.505,2.0,38.1,61.9,4.0,7.3,0.1717,0.3383,1.02,3.0
106,62,3,far_ood,0.5,0.995,61.9,85.0,4.0,7.3,0.3383,0.5,1.02,3.0
107,138,4,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,-3.0,-1.02
108,37,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.01,0.1717,-1.02,1.02
109,75,2,near_ood,0.5,0.995,61.9,85.0,10.7,14.0,0.1717,0.3383,-3.0,-1.02
110,127,1,near_ood,0.995,1.505,38.1,61.9,10.7,14.0,0.01,0.1717,-1.02,1.02
111,214,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.3383,0.5,-1.02,1.02
112,100,1,near_ood,0.995,1.505,15.0,38.1,10.7,14.0,0.01,0.1717,-1.02,1.02
113,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
114,8,2,near_ood,0.5,0.995,15.0,38.1,4.0,7.3,0.3383,0.5,1.02,3.0
115,59,4,far_ood,0.5,0.995,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
116,16,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.3383,0.5,-1.02,1.02
117,24,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.3383,0.5,-3.0,-1.02
118,46,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.01,0.1717,-1.02,1.02
119,51,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.3383,0.5,-3.0,-1.02
120,139,4,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,-1.02,1.02
121,46,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.01,0.1717,-1.02,1.02
122,172,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.01,0.1717,-1.02,1.02
123,171,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.01,0.1717,-3.0,-1.02
124,159,2,near_ood,0.995,1.505,61.9,85.0,10.7,14.0,0.3383,0.5,-3.0,-1.02
125,232,1,near_ood,1.505,2.0,61.9,85.0,7.3,10.7,0.3383,0.5,-1.02,1.02
126,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
127,18,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.01,0.1717,-3.0,-1.02
128,199,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.01,0.1717,-1.02,1.02
129,45,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.01,0.1717,-3.0,-1.02
130,191,2,near_ood,1.505,2.0,38.1,61.9,4.0,7.3,0.01,0.1717,1.02,3.0
131,198,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.01,0.1717,-3.0,-1.02
132,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
133,181,0,iid,1.505,2.0,15.0,38.1,10.7,14.0,0.01,0.1717,-1.02,1.02
134,45,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.01,0.1717,-3.0,-1.02
135,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
136,142,3,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.3383,0.5,-1.02,1.02
137,15,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.3383,0.5,-3.0,-1.02
138,3,2,near_ood,0.5,0.995,15.0,38.1,4.0,7.3,0.1717,0.3383,-3.0,-1.02
139,43,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.3383,0.5,-1.02,1.02
140,112,3,far_ood,0.995,1.505,38.1,61.9,4.0,7.3,0.1717,0.3383,-1.02,1.02
141,18,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.01,0.1717,-3.0,-1.02
142,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
143,213,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.3383,0.5,-3.0,-1.02
144,51,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.3383,0.5,-3.0,-1.02
145,18,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.01,0.1717,-3.0,-1.02
146,71,2,near_ood,0.5,0.995,61.9,85.0,7.3,10.7,0.3383,0.5,1.02,3.0
147,52,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.3383,0.5,-1.02,1.02
148,24,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.3383,0.5,-3.0,-1.02
149,187,0,iid,1.505,2.0,15.0,38.1,10.7,14.0,0.3383,0.5,-1.02,1.02
150,91,1,near_ood,0.995,1.505,15.0,38.1,7.3,10.7,0.01,0.1717,-1.02,1.02
151,217,2,near_ood,1.505,2.0,61.9,85.0,4.0,7.3,0.01,0.1717,-1.02,1.02
152,24,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.3383,0.5,-3.0,-1.02
153,43,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.3383,0.5,-1.02,1.02
154,193,2,near_ood,1.505,2.0,38.1,61.9,4.0,7.3,0.1717,0.3383,-1.02,1.02
155,77,3,far_ood,0.5,0.995,61.9,85.0,10.7,14.0,0.1717,0.3383,1.02,3.0
156,31,2,near_ood,0.5,0.995,38.1,61.9,4.0,7.3,0.1717,0.3383,-1.02,1.02
157,186,0,iid,1.505,2.0,15.0,38.1,10.7,14.0,0.3383,0.5,-3.0,-1.02
158,7,1,near_ood,0.5,0.995,15.0,38.1,4.0,7.3,0.3383,0.5,-1.02,1.02
159,37,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.01,0.1717,-1.02,1.02
160,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
161,45,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.01,0.1717,-3.0,-1.02
162,9,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.01,0.1717,-3.0,-1.02
163,104,3,far_ood,0.995,1.505,15.0,38.1,10.7,14.0,0.1717,0.3383,1.02,3.0
164,242,2,near_ood,1.505,2.0,61.9,85.0,10.7,14.0,0.3383,0.5,1.02,3.0
165,198,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.01,0.1717,-3.0,-1.02
166,43,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.3383,0.5,-1.02,1.02
167,11,1,near_ood,0.5,0.995,15.0,38.1,7.3,10.7,0.01,0.1717,1.02,3.0
168,157,3,far_ood,0.995,1.505,61.9,85.0,10.7,14.0,0.1717,0.3383,-1.02,1.02
169,158,4,far_ood,0.995,1.505,61.9,85.0,10.7,14.0,0.1717,0.3383,1.02,3.0
170,9,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.01,0.1717,-3.0,-1.02
171,30,2,near_ood,0.5,0.995,38.1,61.9,4.0,7.3,0.1717,0.3383,-3.0,-1.02
172,15,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.3383,0.5,-3.0,-1.02
173,172,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.01,0.1717,-1.02,1.02
174,237,2,near_ood,1.505,2.0,61.9,85.0,10.7,14.0,0.1717,0.3383,-3.0,-1.02
175,199,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.01,0.1717,-1.02,1.02
176,195,1,near_ood,1.505,2.0,38.1,61.9,4.0,7.3,0.3383,0.5,-3.0,-1.02
177,210,1,near_ood,1.505,2.0,38.1,61.9,10.7,14.0,0.1717,0.3383,-3.0,-1.02
178,68,3,far_ood,0.5,0.995,61.9,85.0,7.3,10.7,0.1717,0.3383,1.02,3.0
179,224,3,far_ood,1.505,2.0,61.9,85.0,4.0,7.3,0.3383,0.5,1.02,3.0
180,24,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.3383,0.5,-3.0,-1.02
181,199,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.01,0.1717,-1.02,1.02
182,199,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.01,0.1717,-1.02,1.02
183,166,2,near_ood,1.505,2.0,15.0,38.1,4.0,7.3,0.1717,0.3383,-1.02,1.02
184,205,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.3383,0.5,-1.02,1.02
185,136,3,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.01,0.1717,-1.02,1.02
186,171,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.01,0.1717,-3.0,-1.02
187,67,2,near_ood,0.5,0.995,61.9,85.0,7.3,10.7,0.1717,0.3383,-1.02,1.02
188,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
189,46,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.01,0.1717,-1.02,1.02
190,29,2,near_ood,0.5,0.995,38.1,61.9,4.0,7.3,0.01,0.1717,1.02,3.0
191,172,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.01,0.1717,-1.02,1.02
192,63,1,near_ood,0.5,0.995,61.9,85.0,7.3,10.7,0.01,0.1717,-3.0,-1.02
193,207,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.01,0.1717,-3.0,-1.02
194,113,4,far_ood,0.995,1.505,38.1,61.9,4.0,7.3,0.1717,0.3383,1.02,3.0
195,30,2,near_ood,0.5,0.995,38.1,61.9,4.0,7.3,0.1717,0.3383,-3.0,-1.02
196,230,3,far_ood,1.505,2.0,61.9,85.0,7.3,10.7,0.1717,0.3383,1.02,3.0
197,208,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.01,0.1717,-1.02,1.02
198,178,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.3383,0.5,-1.02,1.02
199,46,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.01,0.1717,-1.02,1.02
200,131,3,far_ood,0.995,1.505,38.1,61.9,10.7,14.0,0.1717,0.3383,1.02,3.0
201,198,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.01,0.1717,-3.0,-1.02
202,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
203,204,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.3383,0.5,-3.0,-1.02
204,103,2,near_ood,0.995,1.505,15.0,38.1,10.7,14.0,0.1717,0.3383,-1.02,1.02
205,207,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.01,0.1717,-3.0,-1.02
206,180,0,iid,1.505,2.0,15.0,38.1,10.7,14.0,0.01,0.1717,-3.0,-1.02
207,36,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.01,0.1717,-3.0,-1.02
208,166,2,near_ood,1.505,2.0,15.0,38.1,4.0,7.3,0.1717,0.3383,-1.02,1.02
209,23,2,near_ood,0.5,0.995,15.0,38.1,10.7,14.0,0.1717,0.3383,1.02,3.0
210,181,0,iid,1.505,2.0,15.0,38.1,10.7,14.0,0.01,0.1717,-1.02,1.02
211,5,3,far_ood,0.5,0.995,15.0,38.1,4.0,7.3,0.1717,0.3383,1.02,3.0
212,19,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.01,0.1717,-1.02,1.02
213,80,2,near_ood,0.5,0.995,61.9,85.0,10.7,14.0,0.3383,0.5,1.02,3.0
214,171,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.01,0.1717,-3.0,-1.02
215,90,1,near_ood,0.995,1.505,15.0,38.1,7.3,10.7,0.01,0.1717,-3.0,-1.02
216,74,2,near_ood,0.5,0.995,61.9,85.0,10.7,14.0,0.01,0.1717,1.02,3.0
217,187,0,iid,1.505,2.0,15.0,38.1,10.7,14.0,0.3383,0.5,-1.02,1.02
218,198,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.01,0.1717,-3.0,-1.02
219,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
220,213,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.3383,0.5,-3.0,-1.02
221,19,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.01,0.1717,-1.02,1.02
222,213,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.3383,0.5,-3.0,-1.02
223,158,4,far_ood,0.995,1.505,61.9,85.0,10.7,14.0,0.1717,0.3383,1.02,3.0
224,112,3,far_ood,0.995,1.505,38.1,61.9,4.0,7.3,0.1717,0.3383,-1.02,1.02
225,137,4,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.01,0.1717,1.02,3.0
226,45,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.01,0.1717,-3.0,-1.02
227,158,4,far_ood,0.995,1.505,61.9,85.0,10.7,14.0,0.1717,0.3383,1.02,3.0
228,92,2,near_ood,0.995,1.505,15.0,38.1,7.3,10.7,0.01,0.1717,1.02,3.0
229,15,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.3383,0.5,-3.0,-1.02
230,43,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.3383,0.5,-1.02,1.02
231,83,3,far_ood,0.995,1.505,15.0,38.1,4.0,7.3,0.01,0.1717,1.02,3.0
232,172,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.01,0.1717,-1.02,1.02
233,159,2,near_ood,0.995,1.505,61.9,85.0,10.7,14.0,0.3383,0.5,-3.0,-1.02
234,18,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.01,0.1717,-3.0,-1.02
235,177,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.3383,0.5,-3.0,-1.02
236,42,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.3383,0.5,-3.0,-1.02
237,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
238,173,1,near_ood,1.505,2.0,15.0,38.1,7.3,10.7,0.01,0.1717,1.02,3.0
239,205,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.3383,0.5,-1.02,1.02
240,187,0,iid,1.505,2.0,15.0,38.1,10.7,14.0,0.3383,0.5,-1.02,1.02
241,13,1,near_ood,0.5,0.995,15.0,38.1,7.3,10.7,0.1717,0.3383,-1.02,1.02
242,137,4,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.01,0.1717,1.02,3.0
243,3,2,near_ood,0.5,0.995,15.0,38.1,4.0,7.3,0.1717,0.3383,-3.0,-1.02
244,208,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.01,0.1717,-1.02,1.02
245,178,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.3383,0.5,-1.02,1.02
246,16,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.3383,0.5,-1.02,1.02
247,109,2,near_ood,0.995,1.505,38.1,61.9,4.0,7.3,0.01,0.1717,-1.02,1.02
248,161,3,far_ood,0.995,1.505,61.9,85.0,10.7,14.0,0.3383,0.5,1.02,3.0
249,84,3,far_ood,0.995,1.505,15.0,38.1,4.0,7.3,0.1717,0.3383,-3.0,-1.02
250,119,2,near_ood,0.995,1.505,38.1,61.9,7.3,10.7,0.01,0.1717,1.02,3.0
251,213,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.3383,0.5,-3.0,-1.02
252,73,1,near_ood,0.5,0.995,61.9,85.0,10.7,14.0,0.01,0.1717,-1.02,1.02
253,34,1,near_ood,0.5,0.995,38.1,61.9,4.0,7.3,0.3383,0.5,-1.02,1.02
254,37,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.01,0.1717,-1.02,1.02
255,205,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.3383,0.5,-1.02,1.02
256,10,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.01,0.1717,-1.02,1.02
257,46,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.01,0.1717,-1.02,1.02
258,207,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.01,0.1717,-3.0,-1.02
259,25,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.3383,0.5,-1.02,1.02
260,42,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.3383,0.5,-3.0,-1.02
261,42,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.3383,0.5,-3.0,-1.02
262,25,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.3383,0.5,-1.02,1.02
263,10,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.01,0.1717,-1.02,1.02
